Time,Spot,Future,Difference,Percentage Difference,Label
2023-12-18 06:00:59.999,11.5248,13.7569,-2.232099999999999,-19.367798139664018,-
2023-12-18 06:01:59.999,11.4996,14.2186,-2.719000000000001,-23.644300671327713,-
2023-12-18 06:02:59.999,11.5997,14.1686,-2.5688999999999993,-22.14626240333801,-
2023-12-18 06:03:59.999,12.232,14.3315,-2.099500000000001,-17.163996075866585,-
2023-12-18 06:04:59.999,12.9105,14.2285,-1.3179999999999996,-10.208744820107661,-
2023-12-18 06:05:59.999,12.6283,14.1595,-1.5312000000000001,-12.125147486201628,-
2023-12-18 06:06:59.999,12.7984,14.2732,-1.4747999999999983,-11.52331541442679,-
2023-12-18 06:07:59.999,12.2938,14.3932,-2.099400000000001,-17.076900551497513,-
2023-12-18 06:08:59.999,12.373,14.4569,-2.0839,-16.84231795037582,-
2023-12-18 06:09:59.999,12.5514,14.7344,-2.1830000000000016,-17.3924821135491,-
2023-12-18 06:10:59.999,12.2806,14.5621,-2.2814999999999994,-18.578082504112174,-
2023-12-18 06:11:59.999,12.0,14.7038,-2.7037999999999993,-22.53166666666666,-
2023-12-18 06:12:59.999,12.0973,14.5011,-2.4037999999999986,-19.87054962677621,-
2023-12-18 06:13:59.999,12.4006,14.3291,-1.9284999999999997,-15.551666854829602,-
2023-12-18 06:14:59.999,12.2053,14.3216,-2.1163000000000007,-17.339188713100054,-
2023-12-18 06:15:59.999,12.2246,14.4028,-2.1781999999999986,-17.81816991967016,-
2023-12-18 06:16:59.999,12.6472,14.3119,-1.6646999999999998,-13.162597254728317,-
2023-12-18 06:17:59.999,13.0723,14.3751,-1.3027999999999995,-9.96611154884756,-
2023-12-18 06:18:59.999,12.7995,14.4826,-1.6830999999999996,-13.149732411422319,-
2023-12-18 06:19:59.999,12.8998,14.3855,-1.4856999999999996,-11.517232825315117,-
2023-12-18 06:20:59.999,12.984,14.4971,-1.5130999999999997,-11.653573629081944,-
2023-12-18 06:21:59.999,12.9435,14.4915,-1.548,-11.959670877274307,-
2023-12-18 06:22:59.999,12.9982,14.3863,-1.3880999999999997,-10.679170962133215,-
2023-12-18 06:23:59.999,13.3699,14.2515,-0.8816000000000006,-6.5939161848630174,-
2023-12-18 06:24:59.999,13.3389,14.0759,-0.7370000000000001,-5.525193231825713,-
2023-12-18 06:25:59.999,13.014,14.1817,-1.1677,-8.972644844014138,-
2023-12-18 06:26:59.999,12.8,14.2,-1.3999999999999986,-10.93749999999999,-
2023-12-18 06:27:59.999,12.8063,14.0778,-1.2714999999999996,-9.928706964540886,-
2023-12-18 06:28:59.999,12.6803,13.7861,-1.1057999999999986,-8.720613865602537,-
2023-12-18 06:29:59.999,12.653,13.9025,-1.2494999999999994,-9.875128428040776,-
2023-12-18 06:30:59.999,12.8829,14.0652,-1.1823000000000015,-9.177281512702896,-
2023-12-18 06:31:59.999,12.8816,13.921,-1.0393999999999988,-8.068873431871808,-
2023-12-18 06:32:59.999,12.8193,13.8398,-1.0205000000000002,-7.960653077781159,-
2023-12-18 06:33:59.999,12.5493,14.0171,-1.4677999999999987,-11.696269911469154,-
2023-12-18 06:34:59.999,12.3321,13.9737,-1.6415999999999986,-13.311601430413301,-
2023-12-18 06:35:59.999,12.4377,13.98,-1.542300000000001,-12.400202609807288,-
2023-12-18 06:36:59.999,12.4506,14.0294,-1.578800000000001,-12.680513388912992,-
2023-12-18 06:37:59.999,12.4023,13.8658,-1.4634999999999998,-11.800230602388265,-
2023-12-18 06:38:59.999,12.0601,13.8133,-1.7531999999999996,-14.537192892264573,-
2023-12-18 06:39:59.999,12.3243,13.8176,-1.4933000000000014,-12.116712511055407,-
2023-12-18 06:40:59.999,12.3489,13.9351,-1.5861999999999998,-12.84486877373693,-
2023-12-18 06:41:59.999,12.2051,13.9012,-1.6960999999999995,-13.896649761165412,-
2023-12-18 06:42:59.999,12.1113,13.8626,-1.7513000000000005,-14.460049705646796,-
2023-12-18 06:43:59.999,12.0813,14.0545,-1.9732000000000003,-16.33267943019377,-
2023-12-18 06:44:59.999,12.2521,14.1123,-1.860199999999999,-15.182703373299262,-
2023-12-18 06:45:59.999,12.3005,14.3917,-2.0912000000000006,-17.000934921344665,-
2023-12-18 06:46:59.999,12.0413,14.3661,-2.3247999999999998,-19.306885469176915,-
2023-12-18 06:47:59.999,12.057,14.2672,-2.2102000000000004,-18.331259849050348,-
2023-12-18 06:48:59.999,12.1587,14.0806,-1.9219000000000008,-15.806788554697468,-
2023-12-18 06:49:59.999,12.2742,14.1631,-1.8888999999999996,-15.389190334196929,-
2023-12-18 06:50:59.999,12.2109,14.2,-1.9890999999999988,-16.289544587213054,-
2023-12-18 06:51:59.999,12.4519,14.1479,-1.6959999999999997,-13.620411342847275,-
2023-12-18 06:52:59.999,12.3346,14.1464,-1.8117999999999999,-14.688761694744862,-
2023-12-18 06:53:59.999,12.367,14.0433,-1.6762999999999995,-13.554621169240717,-
2023-12-18 06:54:59.999,12.2795,13.965,-1.6854999999999993,-13.726128914043725,-
2023-12-18 06:55:59.999,12.2,13.9957,-1.7957,-14.718852459016396,-
2023-12-18 06:56:59.999,12.291,14.1181,-1.8270999999999997,-14.865348629078184,-
2023-12-18 06:57:59.999,12.5,14.1192,-1.6191999999999993,-12.953599999999996,-
2023-12-18 06:58:59.999,12.573,14.0555,-1.4825,-11.791139743895648,-
2023-12-18 06:59:59.999,12.6606,13.9754,-1.3148,-10.384973855899403,-
2023-12-18 07:00:59.999,12.7087,14.0846,-1.3758999999999997,-10.826441728894377,-
