Time,Spot,Future,Difference,Percentage Difference,Label
2024-01-04 10:00:59.999,1.511,1.44271,0.06828999999999996,4.519523494374584,+
2024-01-04 10:01:59.999,1.50544,1.44816,0.05728,3.8048676798809655,+
2024-01-04 10:02:59.999,1.46989,1.46134,0.008549999999999836,0.5816761798501817,+
2024-01-04 10:03:59.999,1.45683,1.459,-0.0021700000000000053,-0.14895354983079737,-
2024-01-04 10:04:59.999,1.3591,1.45699,-0.09789000000000003,-7.202560517989849,-
2024-01-04 10:05:59.999,1.40714,1.4687,-0.06155999999999984,-4.374831217931395,-
2024-01-04 10:06:59.999,1.40284,1.48513,-0.08228999999999997,-5.865957628810126,-
2024-01-04 10:07:59.999,1.3953,1.47743,-0.08213000000000004,-5.886189349960585,-
2024-01-04 10:08:59.999,1.41659,1.47678,-0.060189999999999966,-4.248935824762279,-
2024-01-04 10:09:59.999,1.38981,1.48824,-0.09843000000000002,-7.082263043149785,-
2024-01-04 10:10:59.999,1.36245,1.485,-0.12255000000000016,-8.994825498183431,-
2024-01-04 10:11:59.999,1.37093,1.4625,-0.09156999999999993,-6.6794074095686815,-
2024-01-04 10:12:59.999,1.39015,1.44858,-0.05842999999999998,-4.203143545660539,-
2024-01-04 10:13:59.999,1.38399,1.46202,-0.07803000000000004,-5.638046517677154,-
2024-01-04 10:14:59.999,1.37934,1.478,-0.09865999999999997,-7.152696217031332,-
2024-01-04 10:15:59.999,1.39732,1.47146,-0.0741400000000001,-5.305871239229389,-
2024-01-04 10:16:59.999,1.39827,1.46024,-0.06197000000000008,-4.431905139922911,-
2024-01-04 10:17:59.999,1.38468,1.45906,-0.07438000000000011,-5.371638212438984,-
2024-01-04 10:18:59.999,1.371,1.45671,-0.08570999999999995,-6.251641137855576,-
2024-01-04 10:19:59.999,1.3913,1.44298,-0.05167999999999995,-3.7145116078487708,-
2024-01-04 10:20:59.999,1.38,1.4514,-0.07140000000000013,-5.1739130434782705,-
2024-01-04 10:21:59.999,1.38469,1.45642,-0.07173000000000007,-5.180220843654541,-
2024-01-04 10:22:59.999,1.33016,1.46143,-0.13127,-9.868737595477235,-
2024-01-04 10:23:59.999,1.3272,1.46701,-0.13981,-10.534207353827608,-
2024-01-04 10:24:59.999,1.29117,1.47192,-0.18074999999999997,-13.998931201933129,-
2024-01-04 10:25:59.999,1.24487,1.46501,-0.22014,-17.683774209355196,-
2024-01-04 10:26:59.999,1.26956,1.46523,-0.19567,-15.412426352437064,-
2024-01-04 10:27:59.999,1.2853,1.46719,-0.18188999999999989,-14.151559947094054,-
2024-01-04 10:28:59.999,1.27244,1.48523,-0.21279000000000003,-16.722988903209586,-
2024-01-04 10:29:59.999,1.2558,1.48764,-0.23184000000000005,-18.461538461538467,-
2024-01-04 10:30:59.999,1.25,1.47289,-0.22289000000000003,-17.831200000000003,-
2024-01-04 10:31:59.999,1.2463,1.46498,-0.21867999999999999,-17.546337157987644,-
2024-01-04 10:32:59.999,1.23997,1.47206,-0.2320899999999999,-18.717388323911056,-
2024-01-04 10:33:59.999,1.25408,1.46969,-0.21560999999999986,-17.192683082418974,-
2024-01-04 10:34:59.999,1.24804,1.46674,-0.2186999999999999,-17.52347681164064,-
2024-01-04 10:35:59.999,1.21801,1.45418,-0.23617,-19.389824385678278,-
2024-01-04 10:36:59.999,1.18891,1.45121,-0.2623000000000002,-22.062225063293287,-
2024-01-04 10:37:59.999,1.21343,1.45366,-0.24022999999999994,-19.79759854297322,-
2024-01-04 10:38:59.999,1.19329,1.44534,-0.2520500000000001,-21.122275389888472,-
2024-01-04 10:39:59.999,1.16812,1.4462,-0.2780799999999999,-23.805773379447306,-
2024-01-04 10:40:59.999,1.1831,1.45767,-0.27457,-23.20767475276815,-
2024-01-04 10:41:59.999,1.21017,1.47087,-0.26069999999999993,-21.542427923349607,-
2024-01-04 10:42:59.999,1.19721,1.47195,-0.27474,-22.94835492520109,-
2024-01-04 10:43:59.999,1.17169,1.48858,-0.3168900000000001,-27.045549590762075,-
2024-01-04 10:44:59.999,1.18562,1.50402,-0.3184,-26.85514751775443,-
2024-01-04 10:45:59.999,1.21689,1.49917,-0.28227999999999986,-23.196837840725117,-
2024-01-04 10:46:59.999,1.20207,1.4896,-0.28753000000000006,-23.919572071509982,-
2024-01-04 10:47:59.999,1.21008,1.50229,-0.29220999999999986,-24.147990215522928,-
2024-01-04 10:48:59.999,1.23128,1.48859,-0.25731000000000015,-20.89776492755508,-
2024-01-04 10:49:59.999,1.23891,1.47972,-0.24080999999999997,-19.437247257670045,-
2024-01-04 10:50:59.999,1.209,1.48138,-0.27237999999999984,-22.52936311000826,-
2024-01-04 10:51:59.999,1.19773,1.47965,-0.28191999999999995,-23.53785911682933,-
2024-01-04 10:52:59.999,1.175,1.48149,-0.30648999999999993,-26.08425531914893,-
2024-01-04 10:53:59.999,1.17209,1.48857,-0.3164799999999999,-27.001339487581998,-
2024-01-04 10:54:59.999,1.16427,1.48704,-0.32277,-27.722950861913475,-
2024-01-04 10:55:59.999,1.15773,1.49449,-0.33676000000000017,-29.087956604735144,-
2024-01-04 10:56:59.999,1.1477,1.49565,-0.34795,-30.317156051232903,-
2024-01-04 10:57:59.999,1.13528,1.50015,-0.36487,-32.139207948699884,-
2024-01-04 10:58:59.999,1.14482,1.50849,-0.36367000000000016,-31.76656592302722,-
2024-01-04 10:59:59.999,1.14719,1.51214,-0.3649500000000001,-31.81251579947525,-
2024-01-04 11:00:59.999,1.1819,1.50726,-0.3253600000000001,-27.52855571537356,-
2024-01-04 11:01:59.999,1.17571,1.49978,-0.32406999999999986,-27.563769977290303,-
2024-01-04 11:02:59.999,1.19329,1.49207,-0.29878000000000005,-25.03833938103898,-
2024-01-04 11:03:59.999,1.19766,1.48994,-0.2922800000000001,-24.404254963846174,-
2024-01-04 11:04:59.999,1.19675,1.4963,-0.29955,-25.030290369751405,-
2024-01-04 11:05:59.999,1.20076,1.50036,-0.29959999999999987,-24.950864452513397,-
2024-01-04 11:06:59.999,1.19203,1.49623,-0.3042,-25.519491959094992,-
2024-01-04 11:07:59.999,1.19114,1.49226,-0.30111999999999983,-25.279983880987945,-
2024-01-04 11:08:59.999,1.20026,1.4908,-0.2905399999999998,-24.206421941912566,-
2024-01-04 11:09:59.999,1.17502,1.47501,-0.29999,-25.530629265884837,-
2024-01-04 11:10:59.999,1.17455,1.47227,-0.29772,-25.3475799242263,-
2024-01-04 11:11:59.999,1.15731,1.4734,-0.31609,-27.312474617863835,-
2024-01-04 11:12:59.999,1.17889,1.48046,-0.3015700000000001,-25.580842996377957,-
2024-01-04 11:13:59.999,1.19809,1.47972,-0.2816299999999998,-23.50658130858281,-
2024-01-04 11:14:59.999,1.21,1.47777,-0.26777000000000006,-22.129752066115707,-
2024-01-04 11:15:59.999,1.21313,1.46789,-0.2547599999999999,-21.00022256477046,-
2024-01-04 11:16:59.999,1.20097,1.45524,-0.25427,-21.172052590822414,-
2024-01-04 11:17:59.999,1.18461,1.45475,-0.27014000000000005,-22.80412962916066,-
2024-01-04 11:18:59.999,1.18127,1.44378,-0.26251,-22.222692525840834,-
2024-01-04 11:19:59.999,1.18853,1.43517,-0.24663999999999997,-20.75168485439997,-
2024-01-04 11:20:59.999,1.20504,1.44069,-0.23565000000000014,-19.55536745668195,-
2024-01-04 11:21:59.999,1.20563,1.45302,-0.24739,-20.519562386470145,-
2024-01-04 11:22:59.999,1.19231,1.44728,-0.2549699999999999,-21.384539255730466,-
2024-01-04 11:23:59.999,1.18564,1.44796,-0.2623199999999999,-22.124759623494477,-
2024-01-04 11:24:59.999,1.18505,1.44079,-0.2557400000000001,-21.58052402852201,-
2024-01-04 11:25:59.999,1.18131,1.44943,-0.2681199999999999,-22.696836562798918,-
2024-01-04 11:26:59.999,1.17399,1.4574,-0.28340999999999994,-24.140750773004875,-
2024-01-04 11:27:59.999,1.17843,1.46319,-0.2847599999999999,-24.164354267966694,-
2024-01-04 11:28:59.999,1.17129,1.45286,-0.2815700000000001,-24.039307088765387,-
2024-01-04 11:29:59.999,1.15816,1.43817,-0.28000999999999987,-24.17714305450023,-
2024-01-04 11:30:59.999,1.14112,1.44099,-0.2998700000000001,-26.278568424004494,-
2024-01-04 11:31:59.999,1.1413,1.4426,-0.3013000000000001,-26.399719617979507,-
2024-01-04 11:32:59.999,1.13511,1.45181,-0.3167,-27.900379698883803,-
2024-01-04 11:33:59.999,1.11851,1.45612,-0.3376100000000002,-30.183905374113795,-
2024-01-04 11:34:59.999,1.13597,1.46138,-0.32541,-28.64600297543069,-
2024-01-04 11:35:59.999,1.14479,1.46969,-0.32489999999999997,-28.380751054778603,-
2024-01-04 11:36:59.999,1.14288,1.46196,-0.31908000000000003,-27.91894162116758,-
2024-01-04 11:37:59.999,1.12615,1.43976,-0.31360999999999994,-27.847977622874392,-
2024-01-04 11:38:59.999,1.11985,1.43611,-0.31626,-28.241282314595708,-
2024-01-04 11:39:59.999,1.12704,1.44948,-0.32244000000000006,-28.609454855195914,-
2024-01-04 11:40:59.999,1.10688,1.43465,-0.3277699999999999,-29.61206273489447,-
2024-01-04 11:41:59.999,1.1169,1.4416,-0.3247,-29.071537290715373,-
2024-01-04 11:42:59.999,1.12004,1.44703,-0.3269900000000001,-29.19449305381952,-
2024-01-04 11:43:59.999,1.13661,1.45594,-0.3193300000000001,-28.09494901505355,-
2024-01-04 11:44:59.999,1.14159,1.46471,-0.32311999999999985,-28.304382484079206,-
2024-01-04 11:45:59.999,1.13315,1.4668,-0.33365,-29.444468958213825,-
2024-01-04 11:46:59.999,1.14342,1.46991,-0.32648999999999995,-28.553812247468112,-
2024-01-04 11:47:59.999,1.15099,1.47089,-0.3199000000000001,-27.793464756427085,-
