Time,Spot,Future,Difference,Percentage Difference,Label
2024-01-04 18:58:59.999,2274.38,2274.61,-0.2300000000000182,-0.010112646083768684,-
2024-01-04 18:59:59.999,2273.76,2274.0,-0.23999999999978172,-0.010555203715422108,-
2024-01-04 19:00:59.999,2274.13,2274.45,-0.31999999999970896,-0.014071315184255471,-
2024-01-04 19:01:59.999,2274.43,2274.59,-0.16000000000030923,-0.007034729580611812,-
2024-01-04 19:02:59.999,2277.33,2277.57,-0.24000000000023647,-0.010538657111627936,-
2024-01-04 19:03:59.999,2280.81,2281.2,-0.38999999999987267,-0.017099188446204314,-
2024-01-04 19:04:59.999,2280.46,2280.58,-0.11999999999989086,-0.005262096243735512,-
2024-01-04 19:05:59.999,2279.16,2279.28,-0.12000000000034561,-0.005265097667576897,-
2024-01-04 19:06:59.999,2280.4,2280.83,-0.4299999999998363,-0.018856340992801097,-
2024-01-04 19:07:59.999,2280.37,2280.8,-0.43000000000029104,-0.018856589062314057,-
2024-01-04 19:08:59.999,2280.56,2280.7,-0.13999999999987267,-0.006138843091165006,-
2024-01-04 19:09:59.999,2279.9,2280.08,-0.1799999999998363,-0.007895083117673419,-
2024-01-04 19:10:59.999,2281.72,2282.24,-0.5199999999999818,-0.022789825219570407,-
2024-01-04 19:11:59.999,2283.56,2284.02,-0.4600000000000364,-0.020143985706529997,-
2024-01-04 19:12:59.999,2284.33,2284.96,-0.6300000000001091,-0.027579202654612476,-
2024-01-04 19:13:59.999,2283.33,2283.8,-0.47000000000025466,-0.020583971655444226,-
2024-01-04 19:14:59.999,2283.29,2283.92,-0.6300000000001091,-0.02759176451524375,-
2024-01-04 19:15:59.999,2285.05,2285.37,-0.31999999999970896,-0.014004069932811489,-
2024-01-04 19:16:59.999,2281.91,2282.21,-0.3000000000001819,-0.013146881340639283,-
2024-01-04 19:17:59.999,2283.57,2284.1,-0.5299999999997453,-0.02320927319940905,-
2024-01-04 19:18:59.999,2287.88,2288.48,-0.599999999999909,-0.026225151668789845,-
2024-01-04 19:19:59.999,2288.68,2289.11,-0.43000000000029104,-0.018788122411184223,-
2024-01-04 19:20:59.999,2287.57,2288.11,-0.5399999999999636,-0.023605835012697474,-
2024-01-04 19:21:59.999,2290.8,2291.55,-0.75,-0.03273965426925091,-
2024-01-04 19:22:59.999,2288.63,2289.15,-0.5199999999999818,-0.022721016503322155,-
2024-01-04 19:23:59.999,2288.24,2288.72,-0.4800000000000182,-0.020976820613223184,-
2024-01-04 19:24:59.999,2287.94,2288.71,-0.7699999999999818,-0.03365472870791986,-
2024-01-04 19:25:59.999,2288.4,2289.01,-0.6100000000001273,-0.02665617898969268,-
2024-01-04 19:26:59.999,2288.41,2289.21,-0.8000000000001819,-0.03495877050004947,-
2024-01-04 19:27:59.999,2290.07,2290.88,-0.8099999999999454,-0.03537009785726835,-
2024-01-04 19:28:59.999,2290.11,2290.8,-0.6900000000000546,-0.030129557095513074,-
2024-01-04 19:29:59.999,2288.53,2289.16,-0.6299999999996544,-0.02752858822037091,-
2024-01-04 19:30:59.999,2288.99,2289.68,-0.6900000000000546,-0.03014429945085189,-
2024-01-04 19:31:59.999,2286.28,2286.76,-0.4800000000000182,-0.02099480378606374,-
2024-01-04 19:32:59.999,2281.32,2282.27,-0.9499999999998181,-0.04164255781739598,-
2024-01-04 19:33:59.999,2282.22,2282.95,-0.7300000000000182,-0.03198639920778971,-
2024-01-04 19:34:59.999,2282.35,2283.12,-0.7699999999999818,-0.03373715687777869,-
2024-01-04 19:35:59.999,2281.46,2282.02,-0.5599999999999454,-0.024545685657427502,-
2024-01-04 19:36:59.999,2283.0,2283.7,-0.6999999999998181,-0.030661410424871575,-
2024-01-04 19:37:59.999,2279.01,2279.63,-0.6199999999998909,-0.027204795064518842,-
2024-01-04 19:38:59.999,2276.15,2276.46,-0.30999999999994543,-0.013619489049489068,-
2024-01-04 19:39:59.999,2276.71,2277.26,-0.5500000000001819,-0.024157666105923983,-
2024-01-04 19:40:59.999,2276.13,2276.55,-0.42000000000007276,-0.01845237310698742,-
2024-01-04 19:41:59.999,2274.29,2274.81,-0.5199999999999818,-0.022864278522087413,-
2024-01-04 19:42:59.999,2275.21,2275.95,-0.7399999999997817,-0.032524470268668906,-
2024-01-04 19:43:59.999,2276.46,2277.18,-0.7199999999997999,-0.03162805408396369,-
2024-01-04 19:44:59.999,2277.15,2277.68,-0.5299999999997453,-0.023274707419350737,-
2024-01-04 19:45:59.999,2275.2,2275.9,-0.7000000000002728,-0.03076652601970257,-
2024-01-04 19:46:59.999,2271.37,2271.81,-0.44000000000005457,-0.019371568700830538,-
2024-01-04 19:47:59.999,2273.19,2273.97,-0.7799999999997453,-0.03431301387036479,-
2024-01-04 19:48:59.999,2273.58,2274.39,-0.8099999999999454,-0.03562663288733827,-
2024-01-04 19:49:59.999,2275.23,2275.78,-0.5500000000001819,-0.02417338027365066,-
2024-01-04 19:50:59.999,2277.81,2278.57,-0.7600000000002183,-0.03336538166046414,-
2024-01-04 19:51:59.999,2277.26,2277.98,-0.7199999999997999,-0.03161694316853587,-
2024-01-04 19:52:59.999,2276.55,2276.99,-0.4399999999995998,-0.019327491159851523,-
2024-01-04 19:53:59.999,2275.27,2275.84,-0.5700000000001637,-0.02505197185389706,-
2024-01-04 19:54:59.999,2273.87,2274.62,-0.75,-0.03298341593846614,-
2024-01-04 19:55:59.999,2276.6,2277.29,-0.6900000000000546,-0.03030835456382564,-
2024-01-04 19:56:59.999,2274.51,2275.35,-0.8399999999996908,-0.036931031299035424,-
2024-01-04 19:57:59.999,2274.43,2275.29,-0.8600000000001273,-0.03781167149572101,-
2024-01-04 19:58:59.999,2274.79,2275.35,-0.5599999999999454,-0.02461765701449125,-
2024-01-04 19:59:59.999,2274.27,2274.89,-0.6199999999998909,-0.027261494897258938,-
2024-01-04 20:00:59.999,2276.64,2277.41,-0.7699999999999818,-0.0338217724365724,-
2024-01-04 20:01:59.999,2275.2,2275.94,-0.7400000000002365,-0.03252461322082615,-
2024-01-04 20:02:59.999,2276.44,2276.87,-0.4299999999998363,-0.01888914269648382,-
2024-01-04 20:03:59.999,2277.34,2277.77,-0.4299999999998363,-0.018881677746837813,-
2024-01-04 20:04:59.999,2276.92,2277.37,-0.4499999999998181,-0.01976354022099231,-
2024-01-04 20:05:59.999,2277.66,2278.25,-0.5900000000001455,-0.02590377843928179,-
2024-01-04 20:06:59.999,2276.05,2276.61,-0.5599999999999454,-0.024604028909731568,-
2024-01-04 20:07:59.999,2274.54,2275.22,-0.6799999999998363,-0.029896154826902856,-
2024-01-04 20:08:59.999,2273.81,2274.38,-0.5700000000001637,-0.02506805757737734,-
2024-01-04 20:09:59.999,2274.01,2274.64,-0.6299999999996544,-0.0277043636571367,-
2024-01-04 20:10:59.999,2274.38,2274.98,-0.599999999999909,-0.026380815870694827,-
2024-01-04 20:11:59.999,2273.85,2274.53,-0.680000000000291,-0.029905226817964734,-
2024-01-04 20:12:59.999,2274.3,2274.9,-0.599999999999909,-0.026381743833263378,-
2024-01-04 20:13:59.999,2274.47,2275.01,-0.5400000000004184,-0.02374179479177208,-
2024-01-04 20:14:59.999,2274.78,2275.4,-0.6199999999998909,-0.027255382938125478,-
2024-01-04 20:15:59.999,2273.72,2274.51,-0.7900000000004184,-0.03474482346113059,-
2024-01-04 20:16:59.999,2273.99,2274.62,-0.6300000000001091,-0.027704607320177713,-
2024-01-04 20:17:59.999,2276.19,2276.98,-0.7899999999999636,-0.03470712023161351,-
2024-01-04 20:18:59.999,2275.86,2276.44,-0.5799999999999272,-0.025484871652910423,-
2024-01-04 20:19:59.999,2276.24,2276.65,-0.41000000000030923,-0.018012160404891807,-
2024-01-04 20:20:59.999,2278.56,2279.22,-0.6599999999998545,-0.028965662523692794,-
2024-01-04 20:21:59.999,2280.79,2281.51,-0.7200000000002547,-0.0315680093301117,-
2024-01-04 20:22:59.999,2281.54,2282.05,-0.5100000000002183,-0.022353322755692132,-
2024-01-04 20:23:59.999,2281.14,2281.65,-0.5100000000002183,-0.022357242431425443,-
2024-01-04 20:24:59.999,2280.74,2281.3,-0.5600000000004002,-0.024553434411655875,-
2024-01-04 20:25:59.999,2279.92,2280.52,-0.599999999999909,-0.026316712867114154,-
2024-01-04 20:26:59.999,2277.44,2278.24,-0.7999999999997272,-0.03512716032034772,-
2024-01-04 20:27:59.999,2278.38,2279.2,-0.819999999999709,-0.03599048446702082,-
2024-01-04 20:28:59.999,2277.48,2278.26,-0.7800000000002001,-0.034248379788195726,-
2024-01-04 20:29:59.999,2279.74,2280.75,-1.0100000000002183,-0.04430329774448921,-
2024-01-04 20:30:59.999,2280.2,2281.09,-0.8900000000003274,-0.039031663889146896,-
2024-01-04 20:31:59.999,2280.93,2281.89,-0.9600000000000364,-0.04208809564519895,-
2024-01-04 20:32:59.999,2281.08,2281.89,-0.8099999999999454,-0.03550949550212818,-
2024-01-04 20:33:59.999,2282.51,2283.09,-0.5799999999999272,-0.025410622516437043,-
2024-01-04 20:34:59.999,2282.15,2282.67,-0.5199999999999818,-0.022785531187695017,-
2024-01-04 20:35:59.999,2281.52,2282.06,-0.5399999999999636,-0.023668431571932904,-
2024-01-04 20:36:59.999,2280.2,2280.75,-0.5500000000001819,-0.024120691167449432,-
2024-01-04 20:37:59.999,2289.41,2290.09,-0.680000000000291,-0.029701975618185085,-
