Time,Spot,Future,Difference,Percentage Difference,Label
2024-01-04 18:58:59.999,75.155,75.201,-0.04599999999999227,-0.06120683919897847,-
2024-01-04 18:59:59.999,75.147,75.166,-0.018999999999991246,-0.025283777130146574,-
2024-01-04 19:00:59.999,75.233,75.249,-0.015999999999991132,-0.02126726303615585,-
2024-01-04 19:01:59.999,75.103,75.107,-0.0040000000000048885,-0.00532601893400382,-
2024-01-04 19:02:59.999,75.41,75.429,-0.019000000000005457,-0.025195597400882456,-
2024-01-04 19:03:59.999,75.297,75.324,-0.027000000000001023,-0.0358580023108504,-
2024-01-04 19:04:59.999,75.4,75.412,-0.012000000000000455,-0.015915119363395826,-
2024-01-04 19:05:59.999,75.427,75.415,0.012000000000000455,0.01590942235539058,+
2024-01-04 19:06:59.999,75.493,75.508,-0.015000000000000568,-0.0198693918641471,-
2024-01-04 19:07:59.999,75.489,75.527,-0.0379999999999967,-0.05033845990806171,-
2024-01-04 19:08:59.999,75.559,75.628,-0.06900000000000261,-0.09131936632300933,-
2024-01-04 19:09:59.999,75.599,75.609,-0.009999999999990905,-0.013227688196921793,-
2024-01-04 19:10:59.999,75.587,75.644,-0.05700000000000216,-0.0754097926892219,-
2024-01-04 19:11:59.999,75.679,75.705,-0.02599999999999625,-0.03435563366323055,-
2024-01-04 19:12:59.999,75.707,75.739,-0.03200000000001069,-0.04226821826252617,-
2024-01-04 19:13:59.999,75.685,75.706,-0.021000000000000796,-0.02774658122481442,-
2024-01-04 19:14:59.999,75.528,75.555,-0.027000000000001023,-0.03574833174451994,-
2024-01-04 19:15:59.999,75.627,75.673,-0.04600000000000648,-0.060824837690251474,-
2024-01-04 19:16:59.999,75.506,75.544,-0.0379999999999967,-0.050327126321082695,-
2024-01-04 19:17:59.999,75.629,75.646,-0.016999999999995907,-0.022478149916032086,-
2024-01-04 19:18:59.999,75.895,75.921,-0.02600000000001046,-0.03425785624877853,-
2024-01-04 19:19:59.999,75.634,75.665,-0.03100000000000591,-0.04098685776238981,-
2024-01-04 19:20:59.999,75.668,75.722,-0.053999999999987836,-0.07136438124436728,-
2024-01-04 19:21:59.999,75.795,75.823,-0.027999999999991587,-0.036941750775105996,-
2024-01-04 19:22:59.999,75.828,75.862,-0.033999999999991815,-0.044838318299298165,-
2024-01-04 19:23:59.999,75.79,75.816,-0.02599999999999625,-0.034305317324180296,-
2024-01-04 19:24:59.999,75.875,75.864,0.01099999999999568,0.014497528830307322,+
2024-01-04 19:25:59.999,75.947,75.954,-0.006999999999990791,-0.00921695392838531,-
2024-01-04 19:26:59.999,76.107,76.133,-0.02599999999999625,-0.03416242921149992,-
2024-01-04 19:27:59.999,76.24,76.268,-0.028000000000005798,-0.0367261280167967,-
2024-01-04 19:28:59.999,76.359,76.358,0.000999999999990564,0.001309603321141665,+
2024-01-04 19:29:59.999,76.311,76.362,-0.05099999999998772,-0.06683178047724143,-
2024-01-04 19:30:59.999,76.906,76.969,-0.06299999999998818,-0.08191818583724049,-
2024-01-04 19:31:59.999,76.753,76.805,-0.05200000000000671,-0.06774979479630334,-
2024-01-04 19:32:59.999,76.445,76.49,-0.045000000000001705,-0.05886585126561804,-
2024-01-04 19:33:59.999,76.524,76.609,-0.08499999999999375,-0.11107626365583836,-
