Time,Spot,Future,Difference,Percentage Difference,Label
2024-01-04 05:01:59.999,134.28,134.37,-0.09000000000000341,-0.06702412868632962,-
2024-01-04 05:02:59.999,133.87,133.986,-0.11599999999998545,-0.08665122880405277,-
2024-01-04 05:03:59.999,134.67,134.736,-0.0660000000000025,-0.04900868790376661,-
2024-01-04 05:04:59.999,134.09,134.134,-0.04399999999998272,-0.03281378178833822,-
2024-01-04 05:05:59.999,134.2,134.367,-0.1670000000000016,-0.12444113263785515,-
2024-01-04 05:06:59.999,134.07,134.149,-0.07900000000000773,-0.05892444245543949,-
2024-01-04 05:07:59.999,134.06,134.122,-0.06200000000001182,-0.04624794867970448,-
2024-01-04 05:08:59.999,133.94,134.019,-0.07900000000000773,-0.058981633567274705,-
2024-01-04 05:09:59.999,133.69,133.734,-0.04400000000001114,-0.03291196050565573,-
2024-01-04 05:10:59.999,133.73,133.783,-0.05299999999999727,-0.03963209451880451,-
2024-01-04 05:11:59.999,133.75,133.826,-0.0759999999999934,-0.05682242990653713,-
2024-01-04 05:12:59.999,133.9,133.965,-0.06499999999999773,-0.04854368932038665,-
2024-01-04 05:13:59.999,134.02,134.174,-0.15399999999999636,-0.1149082226533326,-
2024-01-04 05:14:59.999,133.68,133.809,-0.12899999999999068,-0.0964991023339248,-
2024-01-04 05:15:59.999,134.1,134.177,-0.07699999999999818,-0.057419835943324525,-
2024-01-04 05:16:59.999,133.83,133.958,-0.1279999999999859,-0.09564372711648053,-
2024-01-04 05:17:59.999,134.08,134.151,-0.07099999999999795,-0.052953460620523536,-
2024-01-04 05:18:59.999,133.8,133.926,-0.12599999999997635,-0.09417040358742627,-
2024-01-04 05:19:59.999,133.56,133.695,-0.1349999999999909,-0.10107816711589616,-
2024-01-04 05:20:59.999,133.08,133.202,-0.12199999999998568,-0.09167418094378244,-
2024-01-04 05:21:59.999,133.3,133.433,-0.13299999999998136,-0.09977494373591998,-
2024-01-04 05:22:59.999,133.25,133.343,-0.09299999999998931,-0.06979362101312518,-
2024-01-04 05:23:59.999,133.26,133.394,-0.13400000000001455,-0.10055530541799082,-
2024-01-04 05:24:59.999,133.12,133.176,-0.055999999999983174,-0.04206730769229505,-
2024-01-04 05:25:59.999,133.2,133.322,-0.1220000000000141,-0.09159159159160218,-
2024-01-04 05:26:59.999,133.6,133.692,-0.09200000000001296,-0.0688622754491115,-
2024-01-04 05:27:59.999,133.16,133.195,-0.03499999999999659,-0.02628416942024376,-
2024-01-04 05:28:59.999,133.02,133.155,-0.1349999999999909,-0.10148849797022319,-
2024-01-04 05:29:59.999,133.2,133.265,-0.06499999999999773,-0.048798798798797095,-
2024-01-04 05:30:59.999,133.38,133.443,-0.0630000000000166,-0.04723346828611231,-
2024-01-04 05:31:59.999,132.96,133.079,-0.11899999999999977,-0.08950060168471703,-
2024-01-04 05:32:59.999,133.46,133.58,-0.12000000000000455,-0.08991458114791288,-
2024-01-04 05:33:59.999,133.51,133.565,-0.05500000000000682,-0.041195416073707455,-
2024-01-04 05:34:59.999,133.67,133.769,-0.09900000000001796,-0.0740629909478701,-
2024-01-04 05:35:59.999,133.53,133.628,-0.09799999999998477,-0.07339174717290853,-
2024-01-04 05:36:59.999,134.26,134.408,-0.14799999999999613,-0.11023387457172362,-
2024-01-04 05:37:59.999,134.69,134.757,-0.06700000000000728,-0.04974385626253417,-
2024-01-04 05:38:59.999,134.74,134.851,-0.11099999999999,-0.08238088169807777,-
